ID,Nombre,Componente,Precio
1,DILASEDAN, CLOTIAZEPAM 5 Mg, $8.999
2,HELTY,Passiflora, $4.399
3,VITAMINLIFE,Magnesium,$3.599
4,CARDIOSMILE,Contribuye a reducir Colesterol, $15.999
5,LIPONOX,Liponox Carb Block, $29.999
6,ALIZON,Clormadinona / Etinilestradiol, $16.999
7,IRIX,Minerales / Probioticos / Vitaminas, $16.999
8,RIGOTAX,Cetirizina Diclorhidrato, $7.999
9,SIBILLA, Dienogest/Etilinestradiol, $12.999
10,CERUCLIN, Peróxido de Hidrógeno ótico Spray, $8.199
11,OMIVIS,Higiene e Hidratación del ojo, $10.099
12,UNIVIS,Solución para tus lentes de contacto, $10.199
13,OMRON,Toma Presión de Muñeca HEM6124, $39.699
14,BRAUN,Tomador de Presión Bua 6150 WE,$59.999
15,OXIMETRO,Oximetro de Pulso, $16.399
16,MYLOOP (B), ETINILESTRADIOL 2.7mg / ETONOGESTREL 11.7mg, $18.999
17,ZENMED,Oxímetro de Pulso, $19.999
18,DIAVITAL,Probióticos TST, $17.999
19,DIAVITAL,Probióticos KLN, $17.999
20,DIAVITAL,Probióticos KLC, $17.999
21,VITAMINLIFE,Multi Biotic Bi Cfu,$21.999
22,VITAMINLIFE,Magnesium Plus Liquid,$18.999
23,CEBION, Vitamina C,
24,X RAY,X Ray Colágeno Comprimidos x 60, $28.999
25,X RAY,X Ray Colágeno Doypack Polvo 321g Sabor Limón, $29.999
26,LIPONOX,Fat Binder ADVANCED, $39.999
27,AEROCHAMBER,AEROCHAMBER PLUS INF. MASC. MORADO X1UND, $29.999
28,AEROCHAMBER,AEROCHAMBER PLUS AD.MASC.AZUL X1UNI, $29.999
29,AEROCHAMBER,AEROCHAMBER PLUS CHILD MASC.AMAR X1UND, $29.999
30,VITAMINLIFE,L-Glutamine,$11.999
31,VITAMINLIFE,HEPUR PLUS X250ml,$12.999
32,HELTY,CREMA CANNABIS, $9.999
